flo2d_150_v2_station_id,ob_1_id,ob_1_dist,ob_2_id,ob_2_dist,ob_3_id,ob_3_dist
21205,100032,9.813729874289125,100044,11.448817984161266,100002,11.490132655181855
21206,100032,9.843343289064208,100044,11.497446665442492,100002,11.543438363105157
21207,100032,9.875393763888429,100044,11.548201669331409,100002,11.598855757104786
21208,100032,9.909648576443345,100044,11.600706089779708,100002,11.655971796932116
21209,100032,9.945809132242333,100044,11.65453129251568,100002,11.71432331040229
21210,100032,9.984387409751168,100044,11.71045086090959,100002,11.774749848848481
21211,100032,10.025098634601953,100044,11.768048143575776,100002,11.836800049169666
21212,100032,10.067594465959761,100044,11.82685699026399,100002,11.899974739061445
21213,100032,10.112477875053818,100044,11.887724076962094,100002,11.965184491756933
21214,100032,10.159414216518204,100044,11.950194944114175,100002,12.03194161623656
21215,100032,10.208007848976969,100044,12.01376792100781,100002,12.099712960970466
21216,100032,10.258949870486306,100044,12.079359869803211,100002,12.16947708890378
21217,100032,10.311462023875832,100044,12.145981430325552,100002,12.240182877988051
21218,100032,10.366292347005169,100044,12.214594542092966,100002,12.312852450936738
21219,100032,10.42302849445273,100044,12.2846861087957,100002,12.386941999401282
21220,100032,10.481201788295799,100044,12.355699660489764,100002,12.46186613826085
21221,100032,10.541642976253758,100044,12.428662308485002,100002,12.538709821727233
21222,100032,10.603896472456727,100044,12.503028332144787,100002,12.616898127480496
21223,100032,10.667453287952553,100044,12.578210925121542,100002,12.695816839069165
21224,100032,10.733223333928159,100044,12.65529930548079,100002,12.776610634711364
21225,100032,10.800710377681119,100044,12.733717011927576,100002,12.85867533676817
21226,100032,10.869367747651896,100044,12.812848740449693,100002,12.941369694163217
21227,100032,10.94018082572828,100044,12.893842755407618,100002,13.02589503218294
21228,100032,11.012076855492236,100044,12.975484364578712,100002,13.110985055237467
21229,100032,11.086089377640869,100044,13.058959468181781,100002,13.197877128276707
21230,100032,11.16166012367073,100044,13.143644406965633,100002,13.285922259265512
21231,100032,11.238185272540221,100044,13.228880265036615,100002,13.374437905323235
21232,100032,11.30737117718782,100044,13.32490598831589,100002,13.455889024385334
21233,100032,11.387484373870565,100044,13.413014670935658,100002,13.547309601826218
21234,100032,11.468427258152891,100044,13.501582053116643,100002,13.639110251009283
21235,100032,11.551368790680838,100044,13.591898345383626,100002,13.732629616215831
21236,100032,11.635684601417504,100044,13.68328985782655,100002,13.82717042428037
21237,100032,11.720710340113941,100044,13.775051651691804,100002,13.922005754013277
21238,100032,11.807676562982435,100044,13.868522215327836,100002,14.01852023953282
21239,100032,11.895275959157685,100044,13.962306567416714,100002,14.115274760246624
21240,100032,11.984778046799931,100044,14.057773822258204,100002,14.213683083184337
21241,100032,12.075510653338334,100044,14.154212907015866,100002,14.31301261134778
21242,100032,12.16676592974637,100044,14.250884553153236,100002,14.412504056423005
