flo2d_150_station_id,ob_1_id,ob_1_dist,ob_2_id,ob_2_dist,ob_3_id,ob_3_dist
25307,100044,7.654657801983506,100061,13.223099336698688,100032,13.250424126175835
25308,100044,7.704200355875539,100061,13.17218116265971,100032,13.258829005389416
25309,100044,7.756375327714315,100061,13.122808201468581,100032,13.268952169375813
25310,100044,7.81071807520244,100061,13.075343759454121,100032,13.280696402653929
25311,100044,7.867980155030512,100061,13.029101758698841,100032,13.294231143251524
25312,100044,7.927713707869847,100061,12.984456433056934,100032,13.309470480033724
25313,100044,7.989397638415417,100061,12.941734792865095,100032,13.326277834760484
25314,100044,8.053890196765114,100061,12.900319971199062,100032,13.344895779694593
25315,100044,8.120687041956161,100061,12.860550115787792,100032,13.365198981432497
25316,100044,8.189216042147025,100061,12.822714654960977,100032,13.387012045559894
25317,100044,8.260436422078117,100061,12.786267818892846,100032,13.410649933321238
25318,100044,8.333792560313935,100061,12.751510356017342,100032,13.43594841285431
25319,100044,8.408666431506271,100061,12.718692914074287,100032,13.462693960528489
25320,100044,8.486112152444619,100061,12.687342541453333,100032,13.49127297476403
25321,100044,8.564936766450522,100061,12.657932825072688,100032,13.52125493242805
25322,100044,8.646254096611298,100061,12.630040159176218,100032,13.553073172609611
25323,100044,8.729433890787373,100061,12.60390032715231,100032,13.58650020827182
25324,100044,8.813792018442149,100061,12.579697028946375,100032,13.621260866828118
25325,100044,8.900526707106255,100061,12.557081908981827,100032,13.65785791264745
25326,100044,8.988968773976932,100061,12.536250347916486,100032,13.696027012509981
25327,100044,9.078399897287948,100061,12.517344683569648,100032,13.735457285459297
25328,100044,9.170096423976966,100061,12.500092973840214,100032,13.776719482194622
25329,100044,9.263354154613786,100061,12.484649325759682,100032,13.819513396706016
25330,100044,9.365985396644762,100061,12.460114819490146,100032,13.8529567492481
25331,100044,9.462128911164456,100061,12.44828286279176,100032,13.898794985638517
25332,100044,9.558975317939762,100061,12.438345265965873,100032,13.945769056212741
25333,100044,9.657916442145835,100061,12.430159193712694,100032,13.994559858252078
25334,100044,9.7581980356958,100061,12.42380860292023,100032,14.04480952729291
25335,100044,9.859027633263782,100061,12.419322774557966,100032,14.096117139187852
25336,100044,9.961859492857895,100061,12.416637245987994,100032,14.149227086268974
25337,100044,10.065912838222083,100061,12.41579320186127,100032,14.203748584867748
25338,100044,10.170372146157803,100061,12.416776958728661,100032,14.25924923768842
